text,options,type,answer,score,explanation,註解
下列胞器，何者是由兩層膜組成？,A.粒線體 B.溶酶體 C.過氧化體 D.核糖體,單選,A. 粒線體,2,【解答】A 【出處】細胞 【解析】粒線體與細胞核皆為兩層膜之胞器。,113基礎醫學
單一肌節（sarcomere）的範圍，下列定義何者最正確？,A.相鄰粗肌絲的長度總和 B.相鄰細肌絲的長度總和 C.相鄰粗肌絲加上細肌絲的長度總和 D.相鄰Z線間的距離,單選,D. 相鄰Z線間的距離,2,【解答】D 【出處】肌肉 【解析】肌節為兩Z線間的距離。,113基礎醫學
下列何者為控制反射動作的反射弧（reflex arc）之最終端構造？,A.感覺神經元（sensory neuron） B.運動神經元（motor neuron） C.受器（receptor） D.動器（effector）,單選,D. 動器（effector）,2,【解答】D 【出處】神經系統 【解析】反射動作最後由動作器(effector）， 如肌肉、腺體，來完成反射動作。,113基礎醫學
帕金森氏症（Parkinson's disease）的顫抖症狀肇因為何？,A.腦內缺乏多巴胺（dopamine deficiency） B.腦內多巴胺過高（dopamine excess） C.腦內缺乏血清素（serotonin deficiency） D.腦內血清素過高（serotonin excess）,單選,A. 腦內缺乏多巴胺（dopamine deficiency）,2,【解答】A 【出處】神經系統 【解析】中腦黑質分泌的 dopamine 太少時，可導 致巴金森氏症。,113基礎醫學
下列何者最可能促進生長激素（growth hormone）分泌？,A.高血糖（hyperglycemia） B.高強度運動（high intensity exercise） C.體抑素（somatostatin）分泌增加 D.類胰島素生長因子1（IGF-1）分泌增加,單選,B. 高強度運動（high intensity exercise）,2,【解答】B 【出處】內分泌系統 【解析】運動、NREM 睡眠及高蛋白質食物，均 能促進生長激素分泌。,113基礎醫學
科林菲特氏症（Klinefelter's syndrome）患者的白血球細胞核旁，最多可以看到幾個巴氏體（barr body）？,A.0 B.1 C.2 D.3,單選,B. 1,2,【解答】B 【出處】生殖系統 你必天 【解析】當人類具有兩條X染色體時，有時為了 防止X染色體過度表現，而將其中一條X染色體 關閉，並形成巴氏體。而柯林菲特氏症是具有47 條染色體的性染色體疾病，其特徵為 XXY。因有 2個X染色體，所以會有一個巴氏體。,113基礎醫學
下列何者最可能同時降低動脈血壓波振幅（arterial pulse wave）與動脈血壓波速度（pulse wave velocity）？,A.粥狀動脈硬化 B.動脈老化 C.高血壓 D.低血壓,單選,D. 低血壓,2,【解答】D 【出處】循環系統 不克 【解析】A、B選項均會使血管阻力上升、血壓上 升，故與 B項均會使血壓波振幅與速度上升。 唯有低血壓才會有振幅與波速均下降。,113基礎醫學
在沒有抗利尿激素（antidiuretic hormone）介入的情況下，下列何處對鈉離子的再吸收（reabsorption） 最多？,A.近曲小管（proximal convoluted tubule） B.遠曲小管（distal convoluted tubule） C.亨利氏管上行枝（ascending limb of loop of Henle） D.亨利氏管下行枝（descending limb of loop of Henle）,單選,A. 近曲小管（proximal convoluted tubule）,2,【解答】A 【出處】泌尿系統 三及𥮳 【解析】不論 ADH 是否有分泌，水的再吸收再近 曲小管高達70%左右。,113基礎醫學
正常吸氣的過程中，不會出現下列何種情況？,A.橫膈肌（diaphragm）收縮下移 B.肺泡壓（alveolar pressure）增加 C.胸膜內壓（intrapleural pressure）降低 D.肺間壓（transpulmonary pressure）增加,單選,B. 肺泡壓（alveolar pressure）增加,2,【解答】B 【出處】呼吸系統 【解析】吸氣時肺內壓下降，且比大氣壓還小， 所以空氣會進入肺中，故B錯。,113基礎醫學
調節消化道平滑肌收縮，最主要的離子為下列何者？,A.鈣離子 B.鈉離子 C.鉀離子 D.氯離子,單選,A. 鈣離子,2,【解答】A 【出處】肌肉系統 【解析】 任何肌肉都需要 Ca^2+才能收縮，故應選A,113基礎醫學
下列那一種細胞分泌激素的主要功能，與副甲狀腺素（parathyroid hormone）的作用相反？,A.甲狀腺的濾泡細胞（follicular cell of thyroid gland） B.甲狀腺的濾泡旁細胞（parafollicular cell of thyroid gland） C.腎上腺的束狀區細胞（zona fasciculata of adrenal gland） D.腎上腺的網狀區細胞（zona reticularis of adrenal gland）,單選,B. 甲狀腺的濾泡旁細胞（parafollicular cell of thyroid gland）,2,【解答】B 【出處】內分泌 【解析】副甲狀腺素可使血上 Ca升，而甲狀腺 的濾泡旁細胞分泌降鈣素，則使血 Ca下降。,113基礎醫學
組成踝關節（ankle joint）的骨骼，除脛骨、腓骨之外還包括：,A.跟骨（calcaneus） B.蹠骨（metatarsal bone） C.骰骨（cuboid） D.距骨（talus）,單選,D. 距骨（talus）,2,【解答】D 【出處】骨骼系統 【解析】踝關節由脛骨、腓骨及距骨組成。,113基礎醫學
下列何者兼具屈曲和伸展肩關節的功能？,A.胸大肌 B.三角肌 C.斜方肌 D.棘上肌,單選,B. 三角肌,2,【解答】B 【出處】肌肉 【解析】三角肌可屈曲及外展肩關節,113基礎醫學
右心室的腱索（chordae tendineae）固著在下列何處？,A.肺動脈瓣 B.主動脈瓣 C.二尖瓣 D.三尖瓣,單選,D. 三尖瓣,2,【解答】D 【出處】循環系統 【解析】房室辦的腱索與乳頭肌相連，可預防血 液逆流回心房。而右心的房室瓣是三尖瓣。,113基礎醫學
下列何者是負責供應肝臟充氧血的血管？,A.腸繫膜上動脈 B.腹腔動脈幹 C.肝門靜脈 D.肝靜脈,單選,B. 腹腔動脈幹,2,【解答】B 【出處】循環系統 【解析】腹腔動脈幹的分枝： 肝動脈可供應肝臟含氧血，而肝門靜脈則將富含 消化道營養的缺氧血送入肝臟。,113基礎醫學
下列腎臟構造中，何者最靠近腎門（renal hilum）？,A.腎柱（renal column） B.腎盂（renal pelvis） C.腎盞（renal calyx） D.腎錐體（renal pyramid）,單選,B. 腎盂（renal pelvis）,2,【解答】B 【出處】泌尿系統 【解析】腎盂在腎門附近連按輪尿管，故本題應 選B,113基礎醫學
下列有關卵巢內成熟濾泡（mature follicle）的敘述，何者錯誤？,A.濾泡外圍的內鞘膜（theca interna）細胞可合成雄性素（androgen） B.濾泡內部的顆粒細胞（granulosa cells）參與雌激素（estrogen）的合成 C.濾泡內含23條染色體的卵子（ovum） D.濾泡內含單一大濾泡腔（antrum）,單選,C. 濾泡內含23條染色體的卵子（ovum）,2,【解答】C 【出處】內分泌 【解析】濾泡內含不同時期的卵細胞，而「卵子」 則是由濾泡先排出次級卵母細胞後，在翰卵管中 進行第2次減數分裂後才產生的，故C是錯白,113基礎醫學
下列何者調控並可加速肝臟分泌膽汁？,A.交感神經（sympathetic nerve） B.迷走神經（vagus nerves） C.胸腰段脊神經（spinal nerves） D.舌咽神經（glossopharyngeal nerve）,單選,B. 迷走神經（vagus nerves）,2,【解答】B 【出處】神經系統/消化系統 【解析】迷走神經屬副交感神經，可調控消化道 運動與分泌機能。,113基礎醫學
肝胰壺腹是由下列那兩者會合而形成？,A.肝管與主胰管 B.肝管與副胰管 C.總膽管與主胰管 D.總膽管與副胰管,單選,C. 總膽管與主胰管,2,【解答】C 【出處】消化系統 【解析】總膽管與主胰管會合後形成肝胰壺腹， 再注入十二指腸乳頭部。,113基礎醫學
下列那一個內臟的位移痛（referred pain）出現在左手臂內側皮膚？,A.心臟（heart） B.肺臟（lung） C.肝臟（liver） D.腎臟（kidney）,單選,A. 心臟（heart）,2,【解答】A 【出處】循環系統 【解析】心臟的位移痛與左肩左臂有關,113基礎醫學
有關組織傷口癒合的敘述，下列何者最不適當？,A.傷口感染是造成癒合延遲的重要因素 B.組織癒合過程易出現肉芽組織（granulation tissue） C.使用類固醇抗發炎藥能有效抑制發炎並增進傷口癒合強度 D.糖尿病患因血液灌注不良引起傷口癒合異常,單選,C. 使用類固醇抗發炎藥能有效抑制發炎並增進傷口癒合強度,2,【解答】C 【出處】 炎症與修護 【解析】長期過量使用類固醇所造成的副作用包 括蛋白質的分解及代謝過盛，而有蛋白質耗竭的 現象，容易發生皮膚和皮下組織變薄、粉刺、肌 肉發育不良、傷口癒合不良。,113基礎醫學
下列何者不是心因性休克病患常見的臨床表現？,A.低血壓 B.快而弱的脈搏 C.呼吸急促 D.尿量增加,單選,D. 尿量增加,2,【解答】D 【出處】體液與血液動力障礙 【解析】臨床上患者會表現出嚴重的低血壓、快 而弱的脈搏、因為肺部水腫會產生活動時呼吸喘 或是端坐呼吸喘的情形，以及四肢水腫、尿量減 少,113基礎醫學
下列那種遺傳性疾病的遺傳模式和其他選項不一樣？,A.第一型神經纖維瘤症（neurofibromatosis type 1） B.地中海型貧血（thalassemia） C.馬凡氏症（Marfan syndrome） D.結節性硬化症（tuberous sclerosis）,單選,B. 地中海型貧血（thalassemia）,2,【解答】B 【出處】遺傳性疾病 【解析】 1.體染色體顯性遺傳病(AD)： 1）軟骨發育不全症(Achondroplasia) （2）亨丁頓氏舞蹈症(Humtington’schorea) （3）馬凡氏症候群(Marfan’ssyndrome) （4）結節性硬化症(Tuberoussclerosis) （5）神經纖維瘤(Neurofibromatosis) 2.第一型神經纖維瘤症(neurofibromatosistype1) 是體染色體顯性遺傳病(AD)。發生變異的基因位 置在第17對染色體(17911.2)上 3.地中海貧血又稱海洋性貧血，是一種隱性遺傳性 的血液疾病,113基礎醫學
壞血病（scurvy）是那一種維生素缺乏所造成？,A.維生素C B.維生素A C.維生素D D.維生素B12,單選,A. 維生素C,2,【解答】A 【出處】炎症與修護 【解析】壞血病（scurvy），由維生素C缺乏引起， 所以維生素C缺乏病主要是指壞血病。但維生素 C缺乏不僅能引起壞血病，還與炎症、動脈硬化、 腫瘤箏多種疾患有關。,113基礎醫學
社區性肺炎（community-acquired pneumonia）指的是患者在日常生活環境中所得到的感染，而非在醫院中 的感染。引起典型社區性肺炎最常見的致病菌為何？,A.金黃色葡萄球菌（Staphylococcus aureus） B.肺炎鏈球菌（Streptococcus pneumoniae） C.流行感冒嗜血桿菌（Haemophilus influenzae） D.黴漿菌（Mycoplasma pneumoniae）,單選,B. 肺炎鏈球菌（Streptococcus pneumoniae）,2,【解答】B 【出處】感染性疾病 【解析】典型社區型肺炎最常見的肺炎鏈球菌引 起，症狀通常較為急性，包括發燒、畏寒、咳嗽 合併痰液，另也可能出現單側肋膜性胸痛與呼吸 囷難等症狀。,113基礎醫學
缺鐵性貧血（iron deficiency anemia）的紅血球，其形態有何特徵？,A.體積小且顏色深 B.體積小且顏色淺 C.體積大且顏色深 D.體積大且顏色淺,單選,B. 體積小且顏色淺,2,【解答】B 【出處】體液輿血液動力障礙 【解析】小球性貪血包括缺鐵性貧血（最常見）、 海洋性貧血（台灣常見）。患者的紅血球比正常人 體積小，顏色也較淺。,113基礎醫學
下列何種病毒必須有B型肝炎病毒（hepatitis B virus）存在才能感染人體？,A.A型肝炎病毒（hepatitis A virus） B.C型肝炎病毒（hepatitis C virus） C.D型肝炎病毒（hepatitis D virus） D.E型肝炎病毒（hepatitis E virus）,單選,C. D型肝炎病毒（hepatitis D virus）,2,【解答】C 【出處】呼吸系統疾病 【解析】D型肝炎病毒是必須藉助B型肝炎病毒 的外套才能造出具有傳染力的完整病蟲，只有D 型肝炎病毒而沒B型肝炎病毒的幫助，D型肝炎 是無法禎製的。,113基礎醫學
三陰性（triple negative）乳癌的定義不包含下列何者？,A.雌激素受體（estrogen receptor）陰性 B.孕激素受體（progesterone receptor）陰性 C.第二型人類表皮生長因子接受體（human epidermal growth factor receptor 2）陰性 D.細胞角蛋白（cytokeratin）陰性,單選,D. 細胞角蛋白（cytokeratin）陰性,2,【解答】D 【出處】免疫系統疾病 【解析】 1.三陰性乳癌是指雌激素(ER）、黃體素(PR)和第二 型人類上皮生長受體(HER2)等三種荷爾蒙受體 呈現陰性，代表惠者缺乏這些荷爾蒙受體，導 致患者大多只能選擇化療，而無法採用荷爾蒙 療法以及標靶治療，治療方式相當有限。 2.細胞角蛋白（Cytokeratin，一種上皮細胞特異性 標誌物）陽性,113基礎醫學
"進行性多灶性白質腦病（progressive multifocal leukoencephalopathy, PML）是一種髓鞘脫失 （demyelination）的病變，臨床上常與免疫抑制有關。此病主要由何種病毒引起？",A.HSV-1（herpes simplex virus-1） B.VZV（varicella-zoster virus） C.EBV（Epstein-Barr virus） D.JC virus,單選,D. JC virus,2,"【解答】D 【出處】RNA病毒、新興病毒 【解析】JC病毒(JohnCunninghamvirus,JCV)是 一種人類多瘤病毒，若宿主的免疫系統有缺陷或 被抑制，可能造成JC病毒突變活化，進而穿過血 腦屏障(Bloodbrainbarrier)感染腦部寡突及星 型膠質細胞，造成進行性多灶性白質腦 (Progressive multifocal leukoencephalopathy PML) •",113基礎醫學
侏儒症中最常見的原因是軟骨發育不全（achondroplasia），而軟骨發育不全為體染色體顯性遺傳疾病。約 90%的病人與下列那一個基因突變有關？,A.Fibroblast growth factor receptor 3基因 B.Fibrillin-1基因 C.NF-1基因 D.TCIRG1基因,單選,A. Fibroblast growth factor receptor 3基因,2,【解答】A 【出處】遺傳性疾病 〔解析】 1.軟骨發育不全症」是因骨骼異常而導致生長矮小 的疾病，此症是最常見的遺傳性短肢侏儒症，其 發生率約兩萬五千分之一，是屬於體染色體顯性 遺傳疾病。 2.其致病原因為「纖維芽細胞接受體-3J(FGFR-3） 基因產生缺陷，導致骨骼生長發育不良，長骨的 生長受到抑制,113基礎醫學
在治療慢性阻塞性肺病（COPD）的藥物中，下列何者可抑制乙醯膽鹼（ACh）受體，以減少黏液之分泌？,A.cromolyn B.ipratropium C.beclomethasone D.terbutaline,單選,B. ipratropium,2,【解答】B 【出處】副交感神經阻斷劑 【解析】ipratropium為副交感神經阻斷劑， 能阻斷muscarine受體而抑制乙醯膽鹼的作用。,113基礎醫學
下列何者最常用於緊急治療過敏性休克（anaphylactic shock）？,A.terbutaline B.isoproterenol C.ephedrine D.epinephrine,單選,D. epinephrine,2,【解答】D 【出處】擬交感神經藥物 【解析】epinephrine是治療過敏性休克的首選藥物。,113基礎醫學
下列對於毒品搖頭丸之敘述，何者最不適當？,A.可抑制血清素之再回收 B.結構類似安非他命 C.可能引起高熱症 D.英文簡稱NMDA,單選,D. 英文簡稱NMDA,2,【解答】D 【出處】中樞神經藥物 【解析】 (D)搖頭丸英文簡稱是MDMA不是NMDA,113基礎醫學
下列何者不屬於類鴉片藥物戒斷症候群？,A.體溫過低 B.噁心、嘔吐 C.顫抖 D.流鼻涕,單選,A. 體溫過低,2,【解答】A 【出處】鎮痛劑及痛風治療劑 【解析】戒斷症狀包括渴藥、不安、打呵欠、流 淚、流鼻水、流汗、顫抖、發熱、血壓高、失眠 、厭食、腹瀉、噁心、嘔吐、腹痛、肌肉疼痛、冷火雞(身體發冷及起雞皮疙瘩)畏寒發燒等症狀,113基礎醫學
Fexofenadine較不具鎮靜安眠作用，原因為何？,A.較難通過血腦障壁 B.對H1受體的選擇性增加 C.抑制中樞GABA受體 D.體內半衰期短,單選,A. 較難通過血腦障壁,2,"【解答】A 【出處】自泌素 【解析】(A)Fexofenadine 較難通過血腦障壁是第 二代抗組織胺,適用於肝功能不好的病人,若腎不 好須減量",113基礎醫學
口服抗凝血劑warfarin中毒出血時，應如何救治最好？,A.給予肌肉注射或靜脈注射維生素K B.給予皮下注射或靜脈注射維生素B12 C.給予口服、皮下注射或靜脈注射methylprednisolone D.給予口服、皮下注射或靜脈注射tranexamic acid,單選,A. 給予肌肉注射或靜脈注射維生素K,2,"【解答】A 【出處】血液及心臟血管用藥 【解析】(A)warfarin中素出血時,給予肌肉注射或 靜脈注射維生秦K",113基礎醫學
Milrinone具有強心及擴張血管之功能，長期使用會引發心律不整，此藥物的藥理作用機制為何？,A.第一型磷酸雙酯酶（phosphodiesterase 1）抑制劑 B.第二型磷酸雙酯酶（phosphodiesterase 2）抑制劑 C.第三型磷酸雙酯酶（phosphodiesterase 3）抑制劑 D.第五型磷酸雙酯酶（phosphodiesterase 5）抑制劑,單選,C. 第三型磷酸雙酯酶（phosphodiesterase 3）抑制劑,2,【解答】C 【出處】血液及心臟血管用藥 【解析】Milrinone是PDE3抑制劑抑制心肌細胞 內CAMP的代謝，高濃度的CAMP活化多種蛋白 酶，使心肌膜上的鈣通道開放，Ca2+內流，達到 強心及擴張血管之功能,113基礎醫學
治療糖尿病的用藥canagliflozin，其主要作用機制為何？,A.刺激insulin的釋放 B.減少肝臟生成葡萄糖 C.減少腸胃道對葡萄糖的吸收 D.增加葡萄糖從尿液排除,單選,D. 增加葡萄糖從尿液排除,2,"【解答】D 【出處】作用於新陳代謝及內分泌藥物 【解析】canagliflozin屬於SGLT2抑制劑,可抑制 葡萄糖再吸收,增加葡萄糖從尿液排除",113基礎醫學
下列抗結核桿菌的藥物中，何者會降低以protease inhibitors治療愛滋病（AIDS）的效果？,A.ethambutol B.isoniazid C.pyrazinamide D.rifampin,單選,D. rifampin,2,【解答】D 【出處】藥物概論 【解析】rifampin會誘發代謝酵素，降低以 proteaseinhibitors治療愛滋病（AIDS）的效果,113基礎醫學
下列藥物均能治療新生兒感染，但在考量副作用的前提下，何者是最好的選擇？,A.chloramphenicol B.penicillin G C.sulfamethoxazole D.tetracycline,單選,B. penicillin G,2,【解答】B 【出處】抗微生物藥物 【解析】 (A)chloramphenicol與(C)sulfamethoxazole可能造 成再生不良性貧血， （D)tetracycline可能影響骨骼牙齒的生長,113基礎醫學
下列何種構造通常是由多醣組成，對於幫助細菌抵抗免疫細胞的吞噬作用（phagocytosis）極為重要？,A.莢膜（capsule） B.鞭毛（flagellum） C.線毛（pilus） D.芽孢（spore）,單選,A. 莢膜（capsule）,2,【解答】A 【出處】細菌型態與構造 【解析】 1.莢膜 (1)通常由多醣(polysaccharide組成 *例外：炭疽桿菌(Bacillusanthracis)由多胜月 太(polypeptide)/蛋白質所組成。 （2)細菌毒力因子(virulencefactor)，與附著、抗吞 噬有關。 (3)作為血清分型(Typing)之依據。 (4)作為疫苗成分：細菌多醣莢膜連結上蛋白質。 ①B型流行性感冒嗜血桿菌 (Haemophilusinfhenzae）。 ②奈瑟氏腦膜炎雙球菌 (Neisseriameningitidis)。 ③肺炎雙球菌(Streptococcuspneumonice)。 2.鞭毛：蛋白質所組成，運動器官 3.線毛：蛋白質所組成，一般線毛(Pili/Fimbria)- 附著、性線毛(sexpili）-接合作用(conjugation) 有關。 4.芽孢：抵抗惡劣環境有關。,113基礎醫學
下列那個酵素主要負責B細胞的體細胞超突變（somatic hypermutation）？,A.RAG1（recombination-activating gene 1） B.RAG2（recombination-activating gene 2） C.TdT（terminal deoxynucleotidyl transferase） D.AID（activation-induced cytidine deaminase）,單選,D. AID（activation-induced cytidine deaminase）,2,【解答】D 【出處】抗原及抗體 【解析】抗體多樣性(Abdiversity)的機轉：免疫球 蛋白基因重組 1.多源母細胞系V基因(multiplegermlineVgenes) 抗體重鏈由V、D、J、C基因所編碼，輕鏈係 由V、J、C基因所編碼 2.重組多樣性(combinationaldiversity) 重鏈之變異區(Vregion)由V-D-J組合，輕鏈之 變異區(Vregion)由V-J組合，重鏈不同段落的 V、D、J或輕鏈的V、丁基因藉由RAG1、RAG2 (recombination-activatinggene1、2）做為基因 組合酵素(recombinase)，聯結不同段落聯結成抗 體基因。 3.結合之多樣性(junctionaldiversity) 重鏈V-D-J、輕鏈的V-J組合時，TdT(terminal deoxynucleotidyltransferase）酵素可加入一些 新的核甘酸，造成讀取密碼序列之順序改變 frameshiftmutation），導致重組更具多樣化。 4.體細胞超突變(somatichypermutation) V基因常會有突變產生，可提高抗原與抗體之 親合力，為抗體親和力增加(affinitymaturation) 之重要原因〕；参與體細胞超突變之酵素為AD (activation-inducedcytidinedeaminase)，AID可 將DNA中cytosinebase轉換成uracil，使原本 C.G突變成A:T。 5.挑選過之重鏈與輕鏈 (CombinationsofHandLchain) 重鏈V-D-J-C重組，輕鏈由V-J-C重組，抗體 為重鏈V-D-J與輕鏈構𢦓，可增加其多樣性。,113基礎醫學
有關抗體的敘述，下列何者錯誤？,A.IgG包含兩個輕鏈及兩個重鏈，由雙硫鍵連結 B.IgA以雙體（dimer）的結構，透過黏膜上皮細胞基底部位之poly-Ig receptor運送至管腔部位 C.大部分血清中的IgG半衰期大約三週 D.血清中濃度最高的是IgE,單選,D. 血清中濃度最高的是IgE,2,【解答】D 【出處】抗原及抗體 【解析】正常人血中抗體濃度： IgG>IgA>IgM>IgD>IgE。,113基礎醫學
下列何者屬於第二型過敏反應？,A.阿圖斯氏反應（Arthus reaction） B.全身性過敏反應（systemic anaphylaxis） C.結核菌素反應 D.ABO血型不合造成的溶血與輸血反應,單選,D. ABO血型不合造成的溶血與輸血反應,2,【解答】D 【出處】過敏反應 【解析】 1.阿圖斯氏反應(Arthusreaction)：第三型。 2.全身性過敏反應(systemicanaphylaxis): 第一型。 3.結核菌素反應：第四型。,113基礎醫學
治療金黃色葡萄球菌造成的院內感染，下列何種抗生素最可能有效？,A.紅黴素（Erythromycin） B.萬古黴素（Vancomycin） C.氯黴素（Chloramphenicol） D.青黴素（Penicillin）,單選,B. 萬古黴素（Vancomycin）,2,【解答】B 【出處】滅菌及化學治療 【解析】萬古黴素(vancomycin)為醣甘類 (glycopeptide），大分子，適於治療G(+)，G()細菌 無效，常用於治療引起院內感染、對methicilin 或oxacillin產生抗藥性的金黃色葡萄球菌MRSA (methicillin-resistant Staphylococcus aureus) ORA(oxacillin-resistant Staphylococcus aureus)。,113基礎醫學
